肺活量,身高,体重,胸围,短跑,跳高,跳远,实心球
1210,120.1,23.8,61,10.2,66.3,2.01,2.73
1210,120.7,23.4,59.8,11.3,67.6,1.92,2.71
1040,121.2,22.9,59,10.1,66.5,1.92,2.6
1620,121.5,24.6,59.5,9.5,67.8,1.95,2.64
1690,122.5,24.4,60.7,11,69.2,2.08,2.64
1150,122.7,27.2,64.5,10.5,69.1,2.19,2.84
1150,123.2,20,56.1,10.4,59.3,1.83,2.61
1460,123.3,24.9,58.4,10.5,69,2.01,2.72
1190,123.4,21.8,59,10.6,67.4,1.9,2.71
1840,123.9,23.5,60.2,9.6,67.1,2,2.84
1250,124.5,25.2,63,11.2,67.8,2.05,2.78
1480,124.8,22.3,58.1,10.7,67.9,2.05,2.73
1310,124.9,22,58,10.5,67.8,1.98,2.68
1660,125.3,24.7,60,10.8,69.3,1.95,2.8
1580,125.6,22.8,59,9.4,69.1,2,2.65
1460,125.8,25.7,61,10.2,69.6,1.95,2.7
1240,126,30.2,68,9.2,67.1,2.14,2.88
1100,126.2,25.2,60.5,9.8,68.4,1.98,2.72
1250,126.8,23.6,58.5,10.2,67.5,1.94,2.74
1270,127.1,23,57.7,10.8,69.8,1.9,2.78
1300,127.6,24.3,59,10.3,67.9,1.93,2.84
1350,127.7,24.1,60,11,69.7,2.03,2.77
1250,128.3,21.6,55.5,10.4,68.5,1.83,2.7
1720,128.5,27.1,62,11.4,71.2,2.03,2.75
1480,128.5,22.6,57.4,10,67.3,2.04,2.83
1380,129.4,24.9,60.5,11.5,69.8,2.04,2.76
1170,129,26.7,63.7,9.6,67.4,2.13,2.98
1640,129.8,26.1,62,9.8,71,2,2.84
1640,131.6,28.7,62.8,9.7,70.7,1.89,2.89
1150,130.2,25,58.6,10.5,71.8,1.96,2.78
1430,130.5,26.1,60.7,10.8,68.6,2.05,2.77
1150,130.6,23.4,54.4,11.8,69.2,1.96,2.78
1150,131.4,25.5,63.2,10.2,70.4,2.05,2.84
1320,131.6,25.6,58.9,10.9,70.2,2.06,2.86
1360,131.7,27.4,62,10.9,73.5,1.99,2.7
1460,132,26.3,61.5,11.1,71.2,2.17,2.13
1380,132.2,25.7,61.4,10.1,70.1,1.96,2.83
1300,132.5,24.5,57,10.8,71.8,2.02,2.84
1220,132.7,27,61.3,10.1,72.2,2.08,2.8
1320,132.9,25.2,60.5,11.2,73.1,2.01,2.73
1910,133.1,30.1,67,9,87.1,2.15,2.97
1800,133.5,26.5,62.5,9.8,71.7,2.07,2.82
1560,133.6,24.8,58.5,10.3,72.2,1.93,2.79
1840,134,26,60.5,10.4,73,1.98,2.74
1470,134.3,28.2,62,11.3,87.2,2.66,4.03
1590,134.4,25.5,60.7,9.6,69.9,1.99,2.81
1430,134.1,26.6,63,11.2,72.2,2.06,2.9
1760,134.6,32.5,66,9.9,87.4,2.61,2.98
1470,135.3,27.9,61.8,10.1,73.3,2.2,2.78
1580,135.6,28.1,65.8,9.8,73.1,2.05,2.89
1580,136.5,28.2,62,11.8,72.9,2.17,2.92
1840,137.1,27.6,62.8,9.5,72.4,2.11,2.91
1810,137.4,28.3,62.5,9.4,74.2,2.06,3
1850,138.1,29.5,62.4,9.7,72.3,2.12,4.02
2120,140,34.9,68.8,9.5,87.9,2.74,4.15
1760,140.7,32,64.4,10.2,74,2.17,4.05
1800,141,32.5,63.8,9.5,88.2,2.65,4.08
1260,141.7,29.1,65,9.7,88.2,2.68,2.9
1860,142.4,19.3,70,10.1,89.6,2.71,4.06
1800,144.7,27,58.3,10.8,74.8,2.1,2.82
1470,136.8,26.3,61.4,10,72.2,2.07,2.93
1260,121.1,22.9,59,10.6,66.3,2.05,2.76
1570,132.7,25.3,58.6,11.5,73.6,2.16,2.78
1290,125,25.7,60.5,10.1,68.8,2,2.69
1580,133.2,27.3,60.7,9.6,71.7,2.11,2.85
1690,132.8,28.6,64.7,9.6,72.9,2.19,4.08
1670,131.6,25.4,59.7,10.6,69.8,2.14,2.76
1300,133.1,25.9,58,10.1,69.7,2.12,2.83
1610,134,25.8,59.6,9.4,70.8,2.1,2.88
1580,134.3,26.3,61.2,10.2,72.2,2.14,2.84
1570,129.1,27.7,62.2,11.1,72.9,2.09,2.93
1660,140.1,32.1,67,9.3,87.1,2.15,4.03
1040,132.6,27.9,62,10.3,72.5,2.08,2.81
1290,128.3,23.6,58.5,9.3,69,1.97,2.76
1980,145.8,34.5,68,9.8,89.7,2.68,4.25
1210,133.3,25.6,61.5,9.9,71,2.11,2.82
1300,134.3,25.6,61,10.5,73.2,2.02,2.83
1310,138.1,27.8,61.2,9.9,73.5,2.09,2.78
1590,135.6,25.9,59.6,9.6,72.8,2.1,2.91
1270,128.3,24.1,58.5,10.3,69.2,1.92,2.77
1310,129.7,24.7,61.7,10.1,69.4,2.03,2.8
2280,143.6,37.6,70,9.7,88.8,2.17,4.18
1580,136.6,32.3,67.2,10.3,87.1,2.66,4.04
2370,147.4,38.8,73,10.8,90.7,2.82,4.38
